         690 function calls (676 primitive calls) in 0.008 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.008    0.008 /home/seia/Documents/C8C286_parallel/sol-acts/act12/analisis-de-rendimiento/pej11t4-opt_mult.py:14(parallel_matrix_multiply)
        4    0.000    0.000    0.006    0.001 /usr/lib/python3.10/multiprocessing/process.py:110(start)
        4    0.000    0.000    0.006    0.001 /usr/lib/python3.10/multiprocessing/context.py:222(_Popen)
        4    0.000    0.000    0.005    0.001 /usr/lib/python3.10/multiprocessing/context.py:278(_Popen)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
        4    0.000    0.000    0.003    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1022(_find_and_load)
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
      3/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:664(_load_unlocked)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap_external>:877(exec_module)
      7/2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:950(get_code)
        4    0.002    0.001    0.002    0.001 {built-in method posix.fork}
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap_external>:942(source_to_code)
        2    0.002    0.001    0.002    0.001 {built-in method builtins.compile}
      2/1    0.000    0.000    0.002    0.002 {built-in method builtins.exec}
        1    0.000    0.000    0.002    0.002 /usr/lib/python3.10/multiprocessing/popen_fork.py:1(<module>)
      2/1    0.000    0.000    0.002    0.002 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.002    0.002 {built-in method builtins.__import__}
        4    0.000    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/process.py:142(join)
       10    0.000    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/popen_fork.py:24(poll)
        4    0.000    0.000    0.002    0.000 /usr/lib/python3.10/multiprocessing/popen_fork.py:36(wait)
       10    0.002    0.000    0.002    0.000 {built-in method posix.waitpid}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:80(__init__)
