         883 function calls in 1.079 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    1.079    1.079 /home/seia/Documents/C8C286_parallel/sol-acts/act12/analisis-de-rendimiento/pej11t2-prof-mult.py:13(parallel_multiply_matrices)
        4    0.000    0.000    1.060    0.265 /usr/lib/python3.10/threading.py:589(wait)
        4    0.000    0.000    1.060    0.265 /usr/lib/python3.10/threading.py:288(wait)
       19    1.060    0.056    1.060    0.056 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    1.059    1.059 /usr/lib/python3.10/multiprocessing/pool.py:369(starmap)
        1    0.000    0.000    1.059    1.059 /usr/lib/python3.10/multiprocessing/pool.py:767(get)
        1    0.000    0.000    1.059    1.059 /usr/lib/python3.10/multiprocessing/pool.py:764(wait)
        1    0.008    0.008    0.008    0.008 {built-in method numpy.array}
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.10/multiprocessing/context.py:115(Pool)
        1    0.000    0.000    0.008    0.008 /usr/lib/python3.10/multiprocessing/pool.py:183(__init__)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/multiprocessing/pool.py:305(_repopulate_pool)
        1    0.000    0.000    0.005    0.005 /usr/lib/python3.10/multiprocessing/pool.py:314(_repopulate_pool_static)
        4    0.000    0.000    0.005    0.001 /usr/lib/python3.10/multiprocessing/process.py:110(start)
        4    0.000    0.000    0.004    0.001 /usr/lib/python3.10/multiprocessing/context.py:278(_Popen)
        4    0.000    0.000    0.004    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:15(__init__)
        4    0.000    0.000    0.004    0.001 /usr/lib/python3.10/multiprocessing/popen_fork.py:62(_launch)
        5    0.000    0.000    0.004    0.001 /usr/lib/python3.10/multiprocessing/util.py:205(__call__)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/multiprocessing/pool.py:738(__exit__)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/multiprocessing/pool.py:654(terminate)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/multiprocessing/pool.py:680(_terminate_pool)
        4    0.003    0.001    0.003    0.001 {built-in method posix.fork}
       15    0.000    0.000    0.003    0.000 /usr/lib/python3.10/multiprocessing/popen_fork.py:24(poll)
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/multiprocessing/process.py:142(join)
       15    0.003    0.000    0.003    0.000 {built-in method posix.waitpid}
        1    0.000    0.000    0.003    0.003 /usr/lib/python3.10/multiprocessing/popen_fork.py:36(wait)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/threading.py:916(start)
        1    0.001    0.001    0.001    0.001 /home/seia/Documents/C8C286_parallel/sol-acts/act12/analisis-de-rendimiento/pej11t2-prof-mult.py:17(<listcomp>)
        3    0.000    0.000    0.001    0.000 /usr/lib/python3.10/threading.py:827(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:671(_help_stuff_finish)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:110(SimpleQueue)
        1    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/queues.py:339(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/context.py:65(Lock)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:179(Process)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:161(__init__)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:345(_setup_queues)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:50(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:80(__init__)
        3    0.000    0.000    0.000    0.000 {built-in method _thread.start_new_thread}
        5    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:186(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:545(__init__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:236(__init__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/queues.py:369(put)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/synchronize.py:114(_make_name)
       22    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        7    0.000    0.000    0.000    0.000 /usr/lib/python3.10/_weakrefset.py:86(add)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/tempfile.py:292(__next__)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:279(_is_owned)
       22    0.000    0.000    0.000    0.000 {built-in method posix.close}
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:433(_flush_std_streams)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/reduction.py:48(dumps)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/random.py:506(choices)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:61(_cleanup)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:267(__exit__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/util.py:171(register_after_fork)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:181(send_bytes)
        9    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1430(current_thread)
        1    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/pool.py:471(_map_async)
       11    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/reduction.py:38(__init__)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/random.py:519(<listcomp>)
        6    0.000    0.000    0.000    0.000 /usr/lib/python3.10/weakref.py:165(__setitem__)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/connection.py:516(Pipe)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:404(parent)
        3    0.000    0.000    0.000    0.000 /usr/lib/python3.10/threading.py:1301(_make_invoke_excepthook)
        4    0.000    0.000    0.000    0.000 /usr/lib/python3.10/multiprocessing/process.py:153(is_alive)
